STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094746,"WORCESTER, MA US",4/13/1950,,37,31,
USW00094746,"WORCESTER, MA US",4/14/1950,,42,31,
USW00094746,"WORCESTER, MA US",4/15/1950,,44,30,
USW00094746,"WORCESTER, MA US",4/16/1950,,55,33,
USW00094746,"WORCESTER, MA US",4/17/1950,,60,35,
USW00094746,"WORCESTER, MA US",4/18/1950,,68,46,
USW00094746,"WORCESTER, MA US",4/19/1950,,67,43,
USW00094746,"WORCESTER, MA US",4/20/1950,,55,41,
USW00094746,"WORCESTER, MA US",4/21/1950,,55,38,
USW00094746,"WORCESTER, MA US",4/22/1950,,47,33,
USW00094746,"WORCESTER, MA US",4/23/1950,,50,35,
USW00094746,"WORCESTER, MA US",4/24/1950,,52,32,
USW00094746,"WORCESTER, MA US",4/25/1950,,60,36,
USW00094746,"WORCESTER, MA US",4/26/1950,,41,36,
USW00094746,"WORCESTER, MA US",4/27/1950,,63,35,
USW00094746,"WORCESTER, MA US",4/28/1950,,54,39,
USW00094746,"WORCESTER, MA US",4/29/1950,,44,35,
USW00094746,"WORCESTER, MA US",4/30/1950,,59,37,
USW00094746,"WORCESTER, MA US",5/1/1950,,43,37,
USW00094746,"WORCESTER, MA US",5/2/1950,,65,38,
USW00094746,"WORCESTER, MA US",5/3/1950,,68,44,
USW00094746,"WORCESTER, MA US",5/4/1950,,72,47,
USW00094746,"WORCESTER, MA US",5/5/1950,,54,44,
USW00094746,"WORCESTER, MA US",5/6/1950,,81,45,
USW00094746,"WORCESTER, MA US",5/7/1950,,72,37,
USW00094746,"WORCESTER, MA US",5/8/1950,,54,29,
USW00094746,"WORCESTER, MA US",5/9/1950,,70,35,
USW00094746,"WORCESTER, MA US",5/10/1950,,61,42,
USW00094746,"WORCESTER, MA US",5/11/1950,,62,47,
USW00094746,"WORCESTER, MA US",5/12/1950,,69,44,
USW00094746,"WORCESTER, MA US",5/13/1950,,75,47,
USW00094746,"WORCESTER, MA US",5/14/1950,,65,34,
USW00094746,"WORCESTER, MA US",5/15/1950,,62,38,
USW00094746,"WORCESTER, MA US",5/16/1950,,60,42,
USW00094746,"WORCESTER, MA US",5/17/1950,,73,41,
USW00094746,"WORCESTER, MA US",5/18/1950,,50,43,
USW00094746,"WORCESTER, MA US",5/19/1950,,44,40,
USW00094746,"WORCESTER, MA US",5/20/1950,,60,40,
USW00094746,"WORCESTER, MA US",5/21/1950,,74,39,
USW00094746,"WORCESTER, MA US",5/22/1950,,71,37,
USW00094746,"WORCESTER, MA US",5/23/1950,,73,39,
USW00094746,"WORCESTER, MA US",5/24/1950,,67,51,
USW00094746,"WORCESTER, MA US",5/25/1950,,63,54,
USW00094746,"WORCESTER, MA US",5/26/1950,,75,53,
USW00094746,"WORCESTER, MA US",5/27/1950,,71,48,
USW00094746,"WORCESTER, MA US",5/28/1950,,66,46,
USW00094746,"WORCESTER, MA US",5/29/1950,,62,52,
USW00094746,"WORCESTER, MA US",5/30/1950,,70,55,
USW00094746,"WORCESTER, MA US",5/31/1950,,76,58,
USW00094746,"WORCESTER, MA US",6/1/1950,,65,53,
USW00094746,"WORCESTER, MA US",6/2/1950,,76,51,
USW00094746,"WORCESTER, MA US",6/3/1950,,77,59,
USW00094746,"WORCESTER, MA US",6/4/1950,,65,47,
USW00094746,"WORCESTER, MA US",6/5/1950,,74,44,
USW00094746,"WORCESTER, MA US",6/6/1950,,83,50,
USW00094746,"WORCESTER, MA US",6/7/1950,,86,59,
USW00094746,"WORCESTER, MA US",6/8/1950,,88,64,
USW00094746,"WORCESTER, MA US",6/9/1950,,90,64,
USW00094746,"WORCESTER, MA US",6/10/1950,,85,60,
USW00094746,"WORCESTER, MA US",6/11/1950,,69,50,
USW00094746,"WORCESTER, MA US",6/12/1950,,71,48,
USW00094746,"WORCESTER, MA US",6/13/1950,,77,50,
USW00094746,"WORCESTER, MA US",6/14/1950,,73,51,
USW00094746,"WORCESTER, MA US",6/15/1950,,78,55,
USW00094746,"WORCESTER, MA US",6/16/1950,,80,56,
USW00094746,"WORCESTER, MA US",6/17/1950,,68,46,
USW00094746,"WORCESTER, MA US",6/18/1950,,66,40,
USW00094746,"WORCESTER, MA US",6/19/1950,,59,49,
USW00094746,"WORCESTER, MA US",6/20/1950,,76,52,
USW00094746,"WORCESTER, MA US",6/21/1950,,75,54,
USW00094746,"WORCESTER, MA US",6/22/1950,,72,49,
USW00094746,"WORCESTER, MA US",6/23/1950,,86,56,
USW00094746,"WORCESTER, MA US",6/24/1950,,90,62,
USW00094746,"WORCESTER, MA US",6/25/1950,,87,65,
USW00094746,"WORCESTER, MA US",6/26/1950,,87,63,
USW00094746,"WORCESTER, MA US",6/27/1950,,75,58,
USW00094746,"WORCESTER, MA US",6/28/1950,,72,54,
USW00094746,"WORCESTER, MA US",6/29/1950,,82,56,
USW00094746,"WORCESTER, MA US",6/30/1950,,82,58,
USW00094746,"WORCESTER, MA US",7/1/1950,,80,59,
USW00094746,"WORCESTER, MA US",7/2/1950,,83,57,
USW00094746,"WORCESTER, MA US",7/3/1950,,82,61,
USW00094746,"WORCESTER, MA US",7/4/1950,,77,63,
USW00094746,"WORCESTER, MA US",7/5/1950,,83,60,
USW00094746,"WORCESTER, MA US",7/6/1950,,76,59,
USW00094746,"WORCESTER, MA US",7/7/1950,,78,54,
USW00094746,"WORCESTER, MA US",7/8/1950,,86,62,
USW00094746,"WORCESTER, MA US",7/9/1950,,82,65,
USW00094746,"WORCESTER, MA US",7/10/1950,,76,60,
USW00094746,"WORCESTER, MA US",7/11/1950,,77,59,
USW00094746,"WORCESTER, MA US",7/12/1950,,84,64,
USW00094746,"WORCESTER, MA US",7/13/1950,,87,66,
