"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-17","30","5","28"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-18","44","1","40"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-19","49","20","33"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-20","33","23","25"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-21","23","13","24"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-22","29","12","26"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-23","37","13","36"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-24","40","7","32"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-25","44","6","40"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-26","40","17","32"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-27","37","29","33"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-28","44","17","40"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-29","49","21","44"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-30","50","20","48"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-03-31","51","18","48"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-01","54","18","47"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-02","54","18","52"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-03","52","30","45"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-04","48","24","47"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-05","62","21","56"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-06","61","39","57"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-07","57","35","42"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-08","42","33","35"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-09","35","27","27"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-10","46","23","45"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-11","45","22","30"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-12","43","20","42"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-13","48","23","46"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-14","57","19","54"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-15","59","22","51"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-16","61","27","60"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-17","73","26","72"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-18","76","31","73"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-19","73","40","70"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-20","90","37","89"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-21","98","44","93"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-22","93","52","56"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-23","60","26","58"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-24","60","27","58"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-25","64","30","62"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-26","64","31","64"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-27","74","29","74"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-28","76","28","74"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-29","74","28","72"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-04-30","80","28","80"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-01","82","34","81"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-02","82","33","81"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-03","85","38","82"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-04","86","43","85"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-05","85","49","65"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-06","65","31","46"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-07","46","29","37"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-08","57","33","55"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-09","70","23","64"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-10","64","42","51"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-11","53","27","53"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-12","58","24","52"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-13","52","25","45"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-14","53","35","49"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-15","68","21","65"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-16","70","28","67"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-17","67","39","65"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-18","80","30","77"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-19","83","37","83"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-20","83","38","80"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-21","86","55","84"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-22","86","60","85"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-23","85","42","82"
